	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
732	PMC7222517	121	['a Kullback-Leibler (KL) divergence representation of SHH (top) and IL6R (bottom) distributions for adult and pediatric samples.']	(18293, 18420)
733	PMC7222517	122	['b KL-divergence versus Log Fold Change plot, with previously identified therapeutic targets overlaid and all points colored by IHW-adjusted p-value, demonstrating relationship between calculated LFC and informational differences.']	(18421, 18650)
734	PMC7222517	123	['Higher KL-Divergence values indicate that a gene has informational difference between age groups.']	(18651, 18748)
735	PMC7222517	124	['As KL-Divergence is an asymmetric method, the scenario of having a pediatric prior (left) and an adult prior (right) are both shown.']	(18749, 18881)
736	PMC7222517	125	['c Pearson Correlation Coefficient (PCC) vs Maximal Information Criterion (MIC) plot with previously identified targets overlaid.']	(18882, 19010)
737	PMC7222517	126	['MIC scores the strength of a relationship from 0 (no relationship) to 1 (noise-free relationship) for genes between the age groups.']	(19011, 19142)
738	PMC7222517	128	['Values that have low PCC and high MIC scores indicate genes with non-linear (i.e.']	(19282, 19363)
739	PMC7222517	130	['d Summary statistics of where genes lie on the PCC vs MIC plot along with their respective differential expression values as visualized in (b)\n\nIn the present context, Kullback-Leibler divergence (DKL) represents the difference between transcript expression profiles of the two age groups (Fig.Â\xa03a).']	(19401, 19701)
740	PMC7222517	132	['3b).']	(19833, 19837)
741	PMC7222517	135	['We analytically assed both linear and non-linear relationships by comparing the MIC versus Pearsonâ\x80\x99s R (Fig.']	(20276, 20386)
742	PMC7222517	136	['3c).']	(20387, 20391)
743	PMC7222517	138	['3d).']	(20553, 20557)
744	PMC7222517	139	['The encoded genes include a long intergenic non-protein coding gene, innate immune system related genes, a chromosomal open reading frame, and a keratin metabolism related gene.']	(20558, 20735)
745	PMC7222517	140	['When cross-checked with canonical differential analysis methods, four genes (FBXL16, COG8, CHST2, and TMCC2) were statistically significant as determined by p-value.']	(20736, 20901)
746	PMC7222517	145	['b Heatmap of GO terms found to be enriched in Metascape analysis comparing HD Spot-identified and the 20 previously identified therapeutic targets.']	(21444, 21591)
747	PMC7222517	147	['4b).']	(21877, 21881)
748	PMC7222517	157	['At the global level, only 12 and 13% of transcripts yielded a Log Fold Change (LFC) with an IHW-adjusted p-value <â\x80\x890.1.']	(23374, 23495)
749	PMC7222517	158	['Using divisive, agglomerative, and probabilistic hierarchical clustering approaches, we observed that while clustering was at a relative optimum with kÂ\xa0=â\x80\x892 clusters, cluster memberships were arbitrary (mean silhouette widths <â\x80\x890.35) and contained a mixture of age groups in each branch.']	(23496, 23787)
750	PMC7222517	161	['Specifically, adult and pediatric patients did not cluster uniquely and inter-cluster members could arbitrarily be replaced by intra-cluster members.']	(24120, 24269)
751	PMC7222517	179	['This provides a specific window into the genomic landscape.']	(27020, 27079)
752	PMC7222517	181	['Furthermore, the transcriptome data analyzed was generated through bulk RNA sequencing.']	(27231, 27318)
753	PMC7222517	189	['Supplementary information\n\nPublisherâ\x80\x99s Note\n\nSpringer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.']	(28582, 28747)
754	PMC7222517	190	['Supplementary information\n\nSupplementary information accompanies this paper at 10.1186/s40478-020-00939-0.']	(28749, 28855)
755	PMC7222517	191	['Authorsâ\x80\x99 contributions\n\nPrimary Authors: EP, RW.']	(28857, 28907)
756	PMC7222517	192	['Analysis and Interpretation of Data: EP.']	(28908, 28948)
757	PMC7222517	193	['Experimental Design: TCH.']	(28949, 28974)
758	PMC7222517	194	['Experimental Implementation: RW, AD, SS, AH, TV, CA.']	(28975, 29027)
759	PMC7222517	195	['Internal Reviewers/Editors: KL, NF, MH, TCH.']	(29028, 29072)
760	PMC7222517	196	['Advancing Treatment for Pediatric Craniopharyngioma (ATPC) Consortium Members: JJ, LM, RA, MS, RN, DL, GG, TN, RD, LK, EJ, GJ, KG, AS, JC, AL, AD, MK, TCH.']	(29073, 29228)
761	PMC7222517	197	['The author(s) read and approved the final manuscript.']	(29229, 29282)
762	PMC7222517	198	['Funding\n\nThe authors wish to acknowledge The Brain Tumor Charity for funding which made this work possible (GN-000522 (181477)).']	(29284, 29412)
763	PMC7222517	199	['Availability of data and materials\n\nThe datasets during and/or analyzed during the current study is available from the corresponding author on reasonable request.']	(29414, 29576)
764	PMC7222517	200	['Ethics approval and consent to participate\n\nAll patient samples were acquired after consent was granted according to the Colorado Multiple Institutional Review Board (COMIRB) approved study guidelines.']	(29578, 29779)
765	PMC7222517	201	['Consent for publication\n\nNot applicable.']	(29781, 29821)
766	PMC7222517	202	['Competing interests\n\nThe authors declare they have no competing interests.']	(29823, 29897)
